"iso2","metro_area_name","year","month","is_hired_1mo_n_users_keywords_total","is_unemployed_n_users_keywords_total","job_offer_n_users_keywords_total","job_search_n_users_keywords_total","lost_job_1mo_n_users_keywords_total","is_hired_1mo_n_users_keywords_gender_male","is_hired_1mo_n_users_keywords_gender_female","is_unemployed_n_users_keywords_gender_male","is_unemployed_n_users_keywords_gender_female","job_offer_n_users_keywords_gender_male","job_offer_n_users_keywords_gender_female","job_search_n_users_keywords_gender_male","job_search_n_users_keywords_gender_female","lost_job_1mo_n_users_keywords_gender_male","lost_job_1mo_n_users_keywords_gender_female","is_hired_1mo_n_users_bert05_total","is_unemployed_n_users_bert05_total","job_offer_n_users_bert05_total","job_search_n_users_bert05_total","lost_job_1mo_n_users_bert05_total","is_hired_1mo_n_users_bert05_gender_male","is_hired_1mo_n_users_bert05_gender_female","is_unemployed_n_users_bert05_gender_male","is_unemployed_n_users_bert05_gender_female","job_offer_n_users_bert05_gender_male","job_offer_n_users_bert05_gender_female","job_search_n_users_bert05_gender_male","job_search_n_users_bert05_gender_female","lost_job_1mo_n_users_bert05_gender_male","lost_job_1mo_n_users_bert05_gender_female","is_hired_1mo_n_users_bert09_total","is_unemployed_n_users_bert09_total","job_offer_n_users_bert09_total","job_search_n_users_bert09_total","lost_job_1mo_n_users_bert09_total","is_hired_1mo_n_users_bert09_gender_male","is_hired_1mo_n_users_bert09_gender_female","is_unemployed_n_users_bert09_gender_male","is_unemployed_n_users_bert09_gender_female","job_offer_n_users_bert09_gender_male","job_offer_n_users_bert09_gender_female","job_search_n_users_bert09_gender_male","job_search_n_users_bert09_gender_female","lost_job_1mo_n_users_bert09_gender_male","lost_job_1mo_n_users_bert09_gender_female"
"BR","Porto Alegre",2015,5,0.07377191459816,0,0.0390557194931435,0.0477347682693977,0,0.0562535158447403,0.190165715838087,0,0,0.0187511719482468,0,0.0375023438964935,0.0814995925020375,0,0,0.282069085228259,0.980732511716716,0.755077243534109,0.416594341260198,0.0260371463287624,0.168760547534221,0.516164085846237,0.712544534033377,1.65715838087476,0.337521095068442,0.162999185004075,0.243765235327208,0.923662048356425,0.0375023438964935,0.0271665308340125,0.0824509633744142,0.355840999826419,0.455650060753341,0.07377191459816,0.00867904877625412,0.0187511719482468,0.190165715838087,0.187511719482468,0.679163270850312,0.206262891430714,0.135832654170062,0.0562535158447403,0.10866612333605,0.0187511719482468,0.0271665308340125
"BR","Porto Alegre",2015,6,0.0729425898910152,0,0.030035184072771,0.0257444434909465,0.00858148116364885,0.0761324704986677,0.053633681952266,0,0,0.0190331176246669,0,0.0190331176246669,0.026816840976133,0,0.026816840976133,0.351840727709603,0.9310907062559,0.738007380073801,0.381875911782374,0,0.266463646745337,0.482703137570394,0.475827940616673,1.55537677661571,0.323562999619338,0.241351568785197,0.152264940997335,0.750871547331724,0,0,0.102977773963786,0.317514803055007,0.347549987127778,0.111559255127435,0,0.0380662352493338,0.134084204880665,0.152264940997335,0.455886296594261,0.190331176246669,0.080450522928399,0.0380662352493338,0.080450522928399,0,0
"BR","Porto Alegre",2015,7,0.0634090278603416,0.0079261284825427,0.0237783854476281,0.0356675781714422,0,0.053840631730079,0.0241196333815726,0.0179468772433597,0,0.0358937544867193,0.0241196333815726,0,0.0964785335262904,0,0,0.305155946577894,0.970950739111481,0.812428169460627,0.447826259263663,0.0079261284825427,0.161521895190237,0.313555233960444,0.50251256281407,1.30246020260492,0.376884422110553,0.289435600578871,0.233309404163676,0.65123010130246,0,0.0241196333815726,0.0911504775492411,0.435937066539849,0.344786588990608,0.114928862996869,0.00396306424127135,0.0358937544867193,0.0723589001447178,0.269203158650395,0.699469368065605,0.161521895190237,0.0482392667631452,0.0358937544867193,0.217076700434153,0,0
"BR","Porto Alegre",2015,8,0.0613449888812208,0.0115021854152289,0.038340618050763,0.0498428034659919,0.0038340618050763,0.0349040139616056,0.0708549834671705,0.0174520069808028,0.0236183278223902,0.0174520069808028,0,0.0349040139616056,0.0944733112895607,0,0.0236183278223902,0.314393068016256,1.08120542903152,0.713135495744191,0.456253354804079,0.0038340618050763,0.191972076788831,0.354274917335853,0.593368237347295,1.39348134152102,0.453752181500873,0.212564950401512,0.209424083769634,0.708549834671705,0,0,0.0575109270761445,0.394908365922859,0.352733686067019,0.0805152979066023,0,0.0349040139616056,0.0944733112895607,0.174520069808028,0.519603212092584,0.157068062827225,0.0708549834671705,0.0174520069808028,0.118091639111951,0,0
"BR","Porto Alegre",2015,9,0.0851599526066351,0.00740521327014218,0.0259182464454976,0.040728672985782,0,0.0512645249487355,0.113378684807256,0,0.0226757369614512,0,0.0226757369614512,0.0170881749829118,0.158730158730159,0,0,0.318424170616114,1.09967417061611,0.755331753554502,0.40728672985782,0.00370260663507109,0.205058099794942,0.476190476190476,0.529733424470267,1.56462585034014,0.410116199589884,0.226757369614512,0.205058099794942,0.566893424036281,0.0170881749829118,0,0.111078199052133,0.381368483412322,0.314721563981043,0.114780805687204,0,0.0683526999316473,0.18140589569161,0.170881749829118,0.566893424036281,0.136705399863295,0.113378684807256,0.0854408749145591,0.18140589569161,0,0
"BR","Porto Alegre",2015,10,0.0748334954725735,0.00374167477362868,0.0261917234154007,0.0224500486417721,0,0.0350385423966363,0.0914076782449726,0,0,0,0.0228519195612431,0,0.0228519195612431,0,0,0.291850632343037,1.02896056274789,0.65105141061139,0.400359200778268,0.011225024320886,0.245269796776454,0.457038391224863,0.770847932725999,1.27970749542962,0.402943237561317,0.205667276051188,0.297827610371409,0.548446069469835,0.0175192711983181,0,0.0860585197934596,0.336750729626581,0.269400583701265,0.0860585197934596,0,0.0700770847932726,0.137111517367459,0.262789067974772,0.388482632541133,0.140154169586545,0.0914076782449726,0.105115627189909,0.114259597806216,0,0
"BR","Porto Alegre",2015,11,0.0420200168080067,0.00382000152800061,0.0229200091680037,0.0152800061120024,0.00382000152800061,0.0530503978779841,0.0469593801361822,0,0,0,0,0,0.0469593801361822,0,0,0.278860111544045,0.882420352968141,0.679960271984109,0.320880128352051,0.0191000076400031,0.194518125552608,0.328715660953275,0.548187444739169,1.12702512326837,0.459770114942529,0.187837520544729,0.106100795755968,0.516553181498004,0,0.0234796900680911,0.068760027504011,0.255940102376041,0.339980135992054,0.0649400259760104,0,0.0353669319186561,0.140878140408547,0.0884173297966401,0.399154731157549,0.123784261715296,0.0469593801361822,0,0.140878140408547,0,0
"BR","Porto Alegre",2015,12,0.0381533765738268,0.00381533765738268,0.0305227012590614,0.0190766882869134,0,0.0177809388335704,0.0711237553342817,0,0,0,0,0.0355618776671408,0,0,0,0.278519648988936,0.785959557420832,0.54177794734834,0.247996947729874,0.00381533765738268,0.231152204836415,0.403034613560929,0.391180654338549,0.948316737790422,0.391180654338549,0.213371266002845,0.142247510668563,0.379326695116169,0,0,0.0495993895459748,0.240366272415109,0.289965661961084,0.0305227012590614,0,0.0355618776671408,0.0711237553342817,0.106685633001422,0.331910858226648,0.248933143669986,0.0948316737790422,0,0.0948316737790422,0,0
"BR","Porto Alegre",2016,1,0.0755800770916786,0.0113370115637518,0.0302320308366715,0.0377900385458393,0,0.0699422976044763,0.0233699462491236,0.0349711488022382,0,0,0,0.0524567232033572,0.0233699462491236,0,0,0.313657319930466,1.12614314866601,0.75957977477137,0.44214345098632,0.00755800770916786,0.279769190417905,0.186959569992989,0.734394124847001,1.37882682869829,0.419653785626858,0.25706940874036,0.244798041615667,0.630988548726338,0,0.0233699462491236,0.0869170886554304,0.404353412440481,0.408132416295065,0.120928123346686,0,0.0524567232033572,0.0467398924982473,0.227312467214548,0.51413881748072,0.174855744011191,0.140219677494742,0.0349711488022382,0.25706940874036,0,0
"BR","Porto Alegre",2016,2,0.0961502902999149,0.0110942642653748,0.0184904404422913,0.0480751451499575,0,0.0169319336268202,0.23084025854109,0,0.023084025854109,0,0,0.0169319336268202,0.023084025854109,0,0,0.406789689730409,1.1611996597759,0.691542472541696,0.565807477534115,0.0184904404422913,0.270910938029123,0.507848568790397,0.626481544192347,1.56971375807941,0.389434473416864,0.392428439519852,0.186251269895022,0.946445060018467,0,0,0.0776598498576236,0.502939980030324,0.380903073111202,0.136829259272956,0.00739617617691653,0.0338638672536404,0.184672206832872,0.186251269895022,0.738688827331487,0.203183203521842,0.277008310249307,0.0507958008804605,0.23084025854109,0,0
