"iso2","year","month","is_hired_1mo_n_users_keywords_total","is_unemployed_n_users_keywords_total","job_offer_n_users_keywords_total","job_search_n_users_keywords_total","lost_job_1mo_n_users_keywords_total","is_hired_1mo_n_users_keywords_gender_male","is_hired_1mo_n_users_keywords_gender_female","is_unemployed_n_users_keywords_gender_male","is_unemployed_n_users_keywords_gender_female","job_offer_n_users_keywords_gender_male","job_offer_n_users_keywords_gender_female","job_search_n_users_keywords_gender_male","job_search_n_users_keywords_gender_female","lost_job_1mo_n_users_keywords_gender_male","lost_job_1mo_n_users_keywords_gender_female","is_hired_1mo_n_users_bert05_total","is_unemployed_n_users_bert05_total","job_offer_n_users_bert05_total","job_search_n_users_bert05_total","lost_job_1mo_n_users_bert05_total","is_hired_1mo_n_users_bert05_gender_male","is_hired_1mo_n_users_bert05_gender_female","is_unemployed_n_users_bert05_gender_male","is_unemployed_n_users_bert05_gender_female","job_offer_n_users_bert05_gender_male","job_offer_n_users_bert05_gender_female","job_search_n_users_bert05_gender_male","job_search_n_users_bert05_gender_female","lost_job_1mo_n_users_bert05_gender_male","lost_job_1mo_n_users_bert05_gender_female","is_hired_1mo_n_users_bert09_total","is_unemployed_n_users_bert09_total","job_offer_n_users_bert09_total","job_search_n_users_bert09_total","lost_job_1mo_n_users_bert09_total","is_hired_1mo_n_users_bert09_gender_male","is_hired_1mo_n_users_bert09_gender_female","is_unemployed_n_users_bert09_gender_male","is_unemployed_n_users_bert09_gender_female","job_offer_n_users_bert09_gender_male","job_offer_n_users_bert09_gender_female","job_search_n_users_bert09_gender_male","job_search_n_users_bert09_gender_female","lost_job_1mo_n_users_bert09_gender_male","lost_job_1mo_n_users_bert09_gender_female"
"BR",2007,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2007,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2008,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2008,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2008,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2008,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2008,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2008,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2008,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2008,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2008,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2008,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2008,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2008,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2009,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2009,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2009,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2009,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2009,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2009,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2009,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2009,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2009,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2009,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2009,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2009,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2010,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2010,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2010,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2010,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2010,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2010,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2010,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2010,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2010,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2010,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2010,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2010,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2011,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2011,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2011,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2011,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2011,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2011,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2011,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2011,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2011,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2011,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2011,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2011,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BR",2012,1,0.0702092146282444,0.00783782112988263,0.0483516289420929,0.0405138078122102,0.00132470216279706,0.0945127714193379,0.131897662206389,0.0140244757589985,0.00986150745468329,0.0481710254330819,0.041911406682404,0.034756309489692,0.102313139842339,0.00426831870926042,0,0.499633499068293,0.845270371711427,0.831912958236557,0.277304319412186,0.00838978036438141,0.740248416148879,0.848089641102763,1.1939097189617,1.55072204724895,0.812809834206306,0.515263764507202,0.339026457478399,0.547313663734923,0.0176830346526503,0.00677978637509476,0.113041251225349,0.246725777820953,0.389572827709237,0.0398514567308117,0.00143509400969682,0.164635150214331,0.183670576343476,0.30305062835749,0.50232053597293,0.348172854712529,0.20154455860509,0.0402441478301697,0.0862881902284788,0.00243903926243453,0.00123268843183541
"BR",2012,2,0.0566020780548492,0.00653549767231248,0.0457484837061874,0.0388628700871439,0.00198399036480915,0.0661196576890865,0.10526923891624,0.0138536425634276,0.0089863984440693,0.0535254371768795,0.0346618225699816,0.0390420835878415,0.0821613572029193,0.00503768820488278,0.00192565680944342,0.420489252023962,0.78145879310365,0.78846111203827,0.260252853736729,0.00746914019692855,0.567369634074923,0.695162108209075,1.05476596789733,1.39545930124333,0.746207565348262,0.416583756442927,0.303520714344187,0.496177571233255,0.0132239315378173,0.00513508482518246,0.0935976630927609,0.223724089961125,0.393880440072404,0.0399132179273369,0.00151716910250111,0.110199429481811,0.172025341643612,0.265738052807567,0.437124095743657,0.364602683828391,0.182295511293977,0.0428203497415036,0.089863984440693,0.00251884410244139,0.00128377120629561
"BR",2012,3,0.0513975287699396,0.00772115342508061,0.0492079479479018,0.0349180520567078,0.00299626849331486,0.0708600640271293,0.0945197816400147,0.0189803742929811,0.00771590054204201,0.053145048020347,0.0353645441510259,0.0341646737273659,0.073944046861236,0.00506143314479495,0.00514393369469467,0.392280690432454,0.767390457576295,0.901185369912394,0.249496972616411,0.00679922465790681,0.556124966784345,0.680285231123371,1.02936896582267,1.41843971631206,0.893342950056308,0.51182140262212,0.319502967265181,0.496389601538036,0.0132862620050867,0.00964487567755252,0.0955348684983855,0.212389339737665,0.433421761667585,0.0343418465772242,0.00138289315076071,0.125270470333675,0.199970422381256,0.268888635817232,0.433376413778026,0.389730352149211,0.206400339499624,0.0347973528704653,0.0700860965902149,0.00316339571549684,0.00128598342367367
"BR",2012,4,0.0378591920237031,0.00834783426609604,0.0376240417626864,0.0308046841931995,0.00211635234915111,0.037348863708299,0.0727249115288465,0.0170918528834589,0.00973994350832765,0.0392479584731278,0.0227265348527645,0.0227891371779452,0.066231615856628,0.00253212635310502,0.00519463653777475,0.304402012886234,0.658185580585995,0.793396980670649,0.194939566382919,0.00564360626440295,0.432360574792682,0.518814324210253,0.857124770526049,1.18437713061264,0.722922073811483,0.451284049219181,0.232322592897386,0.380507126392,0.0056972842944863,0.0110386026427713,0.0680760005643606,0.174481493674458,0.401871796077694,0.0297465080186239,0.000705450783050369,0.0924226118883332,0.12337261777215,0.206368297778059,0.329210090581475,0.352598594669874,0.183760267523782,0.0278533898841552,0.0759715593649557,0.00126606317655251,0.00194798870166553
"BR",2012,5,0.0404550495574357,0.00767250939882401,0.0402225492726229,0.0288300353167933,0.00267375327534776,0.0343803719331146,0.0703931588278235,0.0162525394592905,0.00521430806132026,0.0412564463197375,0.0286786943372614,0.0281293952180028,0.0625716967358432,0.00562587904360056,0.00456251955365523,0.300622868263014,0.655069552460202,0.829909766639464,0.199717744654237,0.00546375669310195,0.411314267854352,0.48688601522578,0.80950148460697,1.19472833455001,0.718237224566338,0.482975284179789,0.236286919831224,0.380644488476379,0.00875136740115643,0.0078214620919804,0.0657975806020362,0.169608957770973,0.398505488169223,0.0305737874528896,0.00116250142406424,0.0843881856540084,0.121232662425696,0.198155961869042,0.319376368755866,0.296296296296296,0.213786630514131,0.0318799812470699,0.059964542705183,0.00125019534302235,0.0019553655229951
"BR",2012,6,0.0353164106835796,0.0060890363247551,0.033489699786153,0.02386902239304,0.00243561452990204,0.0467262426260148,0.0574720415421439,0.0103836094724477,0.00608527498681524,0.0317998040093712,0.0229888166168576,0.0285549260492313,0.0425969249077067,0.00454282914419589,0.00540913332161354,0.278999644400279,0.612557054270363,0.827987159440198,0.170249455640153,0.00779396649568653,0.399768964689238,0.453014915685134,0.799537929378476,1.0777698143315,0.751513735568405,0.447605782363521,0.214161945369235,0.308996740997174,0.0188202921688115,0.00338070832600847,0.0546795461963008,0.145527968161647,0.38860229824587,0.0253303911109812,0.00170493017093143,0.0707383395310502,0.0953359747934387,0.186255994912031,0.262342966098257,0.316051113317628,0.187291241260869,0.0330977551934272,0.0459776332337151,0.00129795118405597,0.000676141665201693
"BR",2012,7,0.0394898060227323,0.00501079109654005,0.0326894466774279,0.0262470009818764,0.000835131849423341,0.0399931440324516,0.0753634787248233,0.0120614243907394,0.00333466720021342,0.0196791661112063,0.0160064025610244,0.0272969078316733,0.0540216086434574,0.000634811810038914,0.00133386688008537,0.304703820489602,0.607140854530769,0.850522136362714,0.177286561177584,0.00870923214398628,0.424054289105995,0.47952514339069,0.778279279107709,1.05175403494731,0.761774172046697,0.466186474589836,0.208218273692764,0.334133653461385,0.0196791661112063,0.00800320128051221,0.0663333297541968,0.156288960392082,0.416969401962083,0.0262470009818764,0.00202817734859954,0.0806210998749421,0.11671335200747,0.18092136586109,0.302787781779378,0.344068001041091,0.210750967053488,0.0260272842115955,0.0486861411231159,0.00317405905019457,0.00200080032012805
"BR",2012,8,0.0391314326995797,0.00501685034609996,0.0363721650092247,0.0268401493516348,0.00200674013843999,0.048147974775811,0.0697296581154863,0.0106995499501802,0.00278918632461945,0.0334360935943132,0.0237080837592653,0.0213990999003604,0.0613620991416279,0.00334360935943132,0.00418377948692918,0.29511622160933,0.615943801242423,0.923100463682393,0.187003096650876,0.00852864558836994,0.395214626284782,0.487410310227249,0.774379927644293,1.10103130164353,0.821859180548218,0.511815690567669,0.224690548953785,0.35422666322667,0.0207303780284742,0.0055783726492389,0.062334365550292,0.159661262264631,0.441106566680839,0.0252096729891523,0.000877948810567494,0.0715532402918302,0.108080970079004,0.189917011615699,0.290075377760423,0.355760035843492,0.220345719644937,0.0300924842348819,0.0460215743562209,0.00133744374377253,0.00139459316230973
"BR",2012,9,0.0328876228647039,0.00563056578228394,0.0380063190304166,0.019579012833851,0.00191951106214225,0.0400943235951697,0.0588619085441961,0.012911731327258,0.00496425734710087,0.042133018015263,0.0297855440826052,0.0176686849741426,0.0411324180188358,0.00339782403348895,0.00212753886304323,0.24441774191278,0.503551735301984,0.790710590198465,0.147546416976668,0.00550259837814112,0.330268496055126,0.385793713831839,0.661896121723648,0.863071598774538,0.699951750898725,0.423380233745603,0.173968590514634,0.263105639396346,0.00815477768037349,0.00851015545217293,0.0536183423358402,0.121824968743962,0.367394417294027,0.0199629150462794,0.000639837020714084,0.0638790918295923,0.0971576080789743,0.150183822280212,0.209917167820266,0.29832895014033,0.158856235107228,0.0190278145875381,0.0361681606717349,0.00135912961339558,0
